nodeId:ID,name,service_type,tier,anomaly_score:float,status,:LABEL
api-gateway,api-gateway,gateway,gateway,0.287,healthy,Resource
ingress-lb,ingress-lb,gateway,gateway,0.297,healthy,Resource
public-bff,public-bff,gateway,gateway,0.267,healthy,Resource
mobile-gateway,mobile-gateway,gateway,gateway,0.053,healthy,Resource
web-frontend,web-frontend,service,frontend,0.585,degraded,Service
mobile-frontend,mobile-frontend,service,frontend,0.121,healthy,Service
admin-portal,admin-portal,service,frontend,0.442,degraded,Service
partner-portal,partner-portal,service,frontend,0.221,healthy,Service
auth-service,auth-service,service,backend,0.05,healthy,Service
user-profile-service,user-profile-service,service,backend,0.059,healthy,Service
tenant-service,tenant-service,service,backend,0.05,healthy,Service
catalog-service,catalog-service,service,backend,0.05,healthy,Service
search-service,search-service,service,backend,0.05,healthy,Service
recommendation-engine,recommendation-engine,service,backend,0.208,healthy,Service
cart-service,cart-service,service,backend,0.254,healthy,Service
order-orchestrator,order-orchestrator,service,backend,0.98,critical,Service
order-fulfillment,order-fulfillment,service,backend,0.05,healthy,Service
payment-gateway-proxy,payment-gateway-proxy,service,backend,0.05,healthy,Service
payment-processor,payment-processor,service,backend,0.05,healthy,Service
fraud-detection,fraud-detection,service,backend,0.05,healthy,Service
billing-service,billing-service,service,backend,0.488,degraded,Service
invoice-service,invoice-service,service,backend,0.05,healthy,Service
inventory-manager,inventory-manager,service,backend,0.501,degraded,Service
warehouse-dispatcher,warehouse-dispatcher,service,backend,0.05,healthy,Service
shipping-tracker,shipping-tracker,service,backend,0.097,healthy,Service
pricing-engine,pricing-engine,service,backend,0.14,healthy,Service
discount-service,discount-service,service,backend,0.05,healthy,Service
notification-dispatcher,notification-dispatcher,service,backend,0.05,healthy,Service
email-service,email-service,service,backend,0.05,healthy,Service
sms-gateway,sms-gateway,service,backend,0.127,healthy,Service
push-notification,push-notification,service,backend,0.05,healthy,Service
audit-logger,audit-logger,service,backend,0.05,healthy,Service
analytics-collector,analytics-collector,service,backend,0.05,healthy,Service
report-generator,report-generator,service,backend,0.05,healthy,Service
postgres-primary,postgres-primary,database,data,0.05,healthy,Resource
postgres-replica,postgres-replica,database,data,0.05,healthy,Resource
mysql-cluster,mysql-cluster,database,data,0.05,healthy,Resource
mongodb-orders,mongodb-orders,database,data,0.05,healthy,Resource
redis-cache-master,redis-cache-master,cache,data,0.05,healthy,Resource
redis-session-store,redis-session-store,cache,data,0.05,healthy,Resource
memcached-cluster,memcached-cluster,cache,data,0.05,healthy,Resource
elasticsearch-cluster,elasticsearch-cluster,database,data,0.05,healthy,Resource
neo4j-graph-db,neo4j-graph-db,database,data,0.05,healthy,Resource
kafka-broker-1,kafka-broker-1,queue,messaging,0.05,healthy,Resource
kafka-broker-2,kafka-broker-2,queue,messaging,0.05,healthy,Resource
kafka-broker-3,kafka-broker-3,queue,messaging,0.05,healthy,Resource
rabbitmq-orders,rabbitmq-orders,queue,messaging,0.05,healthy,Resource
sqs-notification-queue,sqs-notification-queue,queue,messaging,0.05,healthy,Resource
api-gateway-cluster-2,api-gateway-cluster-2,gateway,gateway,0.293,healthy,Resource
ingress-lb-cluster-2,ingress-lb-cluster-2,gateway,gateway,0.228,healthy,Resource
public-bff-cluster-2,public-bff-cluster-2,gateway,gateway,0.182,healthy,Resource
mobile-gateway-cluster-2,mobile-gateway-cluster-2,gateway,gateway,0.186,healthy,Resource
web-frontend-cluster-2,web-frontend-cluster-2,service,frontend,0.263,healthy,Service
mobile-frontend-cluster-2,mobile-frontend-cluster-2,service,frontend,0.085,healthy,Service
admin-portal-cluster-2,admin-portal-cluster-2,service,frontend,0.358,degraded,Service
partner-portal-cluster-2,partner-portal-cluster-2,service,frontend,0.077,healthy,Service
auth-service-cluster-2,auth-service-cluster-2,service,backend,0.054,healthy,Service
user-profile-service-cluster-2,user-profile-service-cluster-2,service,backend,0.05,healthy,Service
tenant-service-cluster-2,tenant-service-cluster-2,service,backend,0.05,healthy,Service
catalog-service-cluster-2,catalog-service-cluster-2,service,backend,0.05,healthy,Service
search-service-cluster-2,search-service-cluster-2,service,backend,0.058,healthy,Service
recommendation-engine-cluster-2,recommendation-engine-cluster-2,service,backend,0.05,healthy,Service
cart-service-cluster-2,cart-service-cluster-2,service,backend,0.05,healthy,Service
order-orchestrator-cluster-2,order-orchestrator-cluster-2,service,backend,0.107,healthy,Service
order-fulfillment-cluster-2,order-fulfillment-cluster-2,service,backend,0.05,healthy,Service
