:START_ID,:END_ID,relationship_type:TYPE,weight:float,latency_ms:float
api-gateway,mobile-frontend,CALLS,0.75,13.2
api-gateway,partner-portal-cluster-2,CALLS,0.91,10.7
api-gateway,admin-portal,CALLS,1.0,11.2
api-gateway,mobile-frontend-cluster-2,CALLS,0.7,13.0
ingress-lb,web-frontend-cluster-2,CALLS,0.78,13.8
ingress-lb,mobile-frontend-cluster-2,CALLS,0.92,5.7
ingress-lb,web-frontend,CALLS,0.78,6.3
ingress-lb,mobile-frontend,CALLS,0.8,11.6
public-bff,web-frontend-cluster-2,CALLS,0.97,13.3
public-bff,partner-portal-cluster-2,CALLS,0.73,8.7
public-bff,partner-portal,CALLS,0.78,4.0
public-bff,admin-portal,CALLS,0.93,11.0
mobile-gateway,web-frontend-cluster-2,CALLS,0.87,8.7
mobile-gateway,mobile-frontend,CALLS,0.7,4.8
mobile-gateway,mobile-frontend-cluster-2,CALLS,0.96,13.9
mobile-gateway,partner-portal,CALLS,0.86,13.2
web-frontend,order-fulfillment-cluster-2,CALLS,0.77,16.9
web-frontend,sms-gateway,CALLS,0.85,18.7
web-frontend,user-profile-service,CALLS,0.94,12.3
web-frontend,order-orchestrator,CALLS,0.9,13.8
web-frontend,tenant-service-cluster-2,CALLS,0.52,18.7
web-frontend,order-fulfillment,CALLS,0.73,26.1
web-frontend,recommendation-engine,CALLS,0.81,28.8
web-frontend,discount-service,CALLS,0.83,13.9
web-frontend,catalog-service-cluster-2,CALLS,0.69,29.0
web-frontend,cart-service-cluster-2,CALLS,0.91,22.5
web-frontend,catalog-service,CALLS,0.8,12.5
mobile-frontend,notification-dispatcher,CALLS,0.69,28.8
mobile-frontend,cart-service-cluster-2,CALLS,0.8,28.1
mobile-frontend,order-fulfillment-cluster-2,CALLS,0.78,16.0
mobile-frontend,auth-service-cluster-2,CALLS,0.75,10.0
mobile-frontend,payment-processor,CALLS,0.63,18.6
mobile-frontend,billing-service,CALLS,0.76,23.1
mobile-frontend,push-notification,CALLS,0.71,18.8
mobile-frontend,payment-gateway-proxy,CALLS,0.6,19.5
mobile-frontend,pricing-engine,CALLS,0.91,25.9
mobile-frontend,search-service,CALLS,0.58,11.7
mobile-frontend,cart-service,CALLS,0.73,22.7
admin-portal,sms-gateway,CALLS,0.94,22.2
admin-portal,recommendation-engine,CALLS,0.85,19.1
admin-portal,warehouse-dispatcher,CALLS,0.9,21.5
admin-portal,notification-dispatcher,CALLS,0.82,17.7
admin-portal,order-orchestrator,CALLS,0.68,13.0
admin-portal,report-generator,CALLS,0.81,27.9
admin-portal,cart-service,CALLS,0.89,27.7
admin-portal,search-service,CALLS,0.85,14.4
admin-portal,auth-service,CALLS,0.86,23.9
admin-portal,user-profile-service,CALLS,0.71,21.1
admin-portal,search-service-cluster-2,CALLS,0.91,12.4
partner-portal,order-fulfillment,CALLS,0.9,24.9
partner-portal,catalog-service-cluster-2,CALLS,0.71,15.2
partner-portal,email-service,CALLS,0.61,22.8
partner-portal,tenant-service-cluster-2,CALLS,0.84,20.4
partner-portal,notification-dispatcher,CALLS,0.78,15.5
partner-portal,auth-service-cluster-2,CALLS,0.53,15.7
partner-portal,audit-logger,CALLS,0.62,16.4
partner-portal,shipping-tracker,CALLS,0.74,12.8
partner-portal,invoice-service,CALLS,0.6,23.9
partner-portal,pricing-engine,CALLS,0.82,11.3
partner-portal,inventory-manager,CALLS,0.68,20.9
auth-service,cart-service-cluster-2,CALLS,0.73,20.5
auth-service,memcached-cluster,CALLS,0.85,6.1
auth-service,mysql-cluster,DEPENDS_ON,0.94,3.8
auth-service,sqs-notification-queue,WRITES_TO,0.84,11.2
user-profile-service,audit-logger,CALLS,0.47,41.4
user-profile-service,pricing-engine,CALLS,0.65,23.3
user-profile-service,elasticsearch-cluster,DEPENDS_ON,0.98,3.4
tenant-service,order-fulfillment-cluster-2,CALLS,0.77,17.6
tenant-service,elasticsearch-cluster,DEPENDS_ON,0.93,11.0
tenant-service,redis-cache-master,CALLS,0.89,4.9
catalog-service,cart-service-cluster-2,CALLS,0.7,17.8
catalog-service,shipping-tracker,CALLS,0.41,35.8
catalog-service,recommendation-engine-cluster-2,CALLS,0.45,32.4
catalog-service,catalog-service-cluster-2,CALLS,0.54,30.9
catalog-service,elasticsearch-cluster,DEPENDS_ON,0.99,11.9
catalog-service,rabbitmq-orders,WRITES_TO,0.75,9.6
search-service,push-notification,CALLS,0.45,21.9
search-service,audit-logger,CALLS,0.66,24.5
search-service,search-service-cluster-2,CALLS,0.67,43.5
search-service,discount-service,CALLS,0.65,20.7
search-service,mongodb-orders,DEPENDS_ON,0.97,3.1
search-service,memcached-cluster,CALLS,0.88,5.6
search-service,kafka-broker-3,WRITES_TO,0.41,13.3
recommendation-engine,discount-service,CALLS,0.72,23.9
recommendation-engine,order-fulfillment-cluster-2,CALLS,0.48,24.1
recommendation-engine,notification-dispatcher,CALLS,0.65,18.8
recommendation-engine,order-orchestrator,CALLS,0.32,16.6
recommendation-engine,redis-cache-master,CALLS,0.91,8.9
recommendation-engine,postgres-primary,DEPENDS_ON,0.95,2.5
cart-service,payment-gateway-proxy,CALLS,0.74,32.2
cart-service,cart-service-cluster-2,CALLS,0.53,28.2
cart-service,order-orchestrator,CALLS,0.39,16.5
cart-service,redis-cache-master,CALLS,0.92,5.5
cart-service,mongodb-orders,DEPENDS_ON,0.93,8.2
order-orchestrator,payment-processor,CALLS,0.34,33.9
order-orchestrator,search-service,CALLS,0.33,19.5
order-orchestrator,tenant-service-cluster-2,CALLS,0.58,24.1
order-orchestrator,order-fulfillment-cluster-2,CALLS,0.8,18.6
order-orchestrator,postgres-replica,DEPENDS_ON,0.98,8.5
order-orchestrator,rabbitmq-orders,WRITES_TO,0.42,8.6
order-fulfillment,warehouse-dispatcher,CALLS,0.75,23.9
order-fulfillment,order-fulfillment-cluster-2,CALLS,0.59,27.9
