~id,~from,~to,~label,cpu_limit:String,criticality:String,error_rate:Double,latency_p95:Double,memory_limit:String,protocol:String,replicas:Int,rps:Double,type:String,weight:Double
e-srv-api-gateway-CALLS-srv-auth-service-1,srv-api-gateway,srv-auth-service,CALLS,,,0.001,18.2,,gRPC,,1200.0,,0.35
e-srv-api-gateway-CALLS-srv-user-service-2,srv-api-gateway,srv-user-service,CALLS,,,0.003,35.0,,HTTP/2,,850.0,,0.25
e-srv-api-gateway-CALLS-srv-order-service-3,srv-api-gateway,srv-order-service,CALLS,,,0.145,850.0,,gRPC,,920.0,,0.2
e-srv-api-gateway-CALLS-srv-search-service-4,srv-api-gateway,srv-search-service,CALLS,,,0.006,55.0,,HTTP/2,,1100.0,,0.12
e-srv-api-gateway-CALLS-srv-recommendation-service-5,srv-api-gateway,srv-recommendation-service,CALLS,,,0.008,85.0,,HTTP/2,,750.0,,0.08
e-srv-order-service-CALLS-srv-payment-service-6,srv-order-service,srv-payment-service,CALLS,,,0.38,2450.0,,gRPC,,410.0,,0.45
e-srv-order-service-CALLS-srv-inventory-service-7,srv-order-service,srv-inventory-service,CALLS,,,0.095,390.0,,gRPC,,600.0,,0.3
e-srv-order-service-CALLS-srv-shipping-service-8,srv-order-service,srv-shipping-service,CALLS,,,0.005,48.0,,HTTP/2,,220.0,,0.15
e-srv-order-service-CALLS-srv-notification-service-9,srv-order-service,srv-notification-service,CALLS,,,0.002,22.0,,AMQP,,480.0,,0.1
e-srv-payment-service-CALLS-srv-billing-service-10,srv-payment-service,srv-billing-service,CALLS,,,0.004,62.0,,gRPC,,180.0,,0.5
e-srv-payment-service-CALLS-srv-notification-service-11,srv-payment-service,srv-notification-service,CALLS,,,0.001,22.0,,AMQP,,180.0,,0.5
e-srv-search-service-CALLS-srv-inventory-service-12,srv-search-service,srv-inventory-service,CALLS,,,0.04,390.0,,HTTP/2,,500.0,,0.6
e-srv-recommendation-service-CALLS-srv-user-service-13,srv-recommendation-service,srv-user-service,CALLS,,,0.003,35.0,,HTTP/2,,300.0,,0.4
e-srv-analytics-service-CALLS-srv-order-service-14,srv-analytics-service,srv-order-service,CALLS,,,0.001,15.0,,Kafka,,100.0,,0.1
e-srv-analytics-service-CALLS-srv-payment-service-15,srv-analytics-service,srv-payment-service,CALLS,,,0.001,15.0,,Kafka,,80.0,,0.1
e-srv-order-service-DEPENDS_ON-srv-payment-service-16,srv-order-service,srv-payment-service,DEPENDS_ON,,high,,,,,,,hard,
e-srv-order-service-DEPENDS_ON-srv-inventory-service-17,srv-order-service,srv-inventory-service,DEPENDS_ON,,high,,,,,,,hard,
e-srv-order-service-DEPENDS_ON-srv-shipping-service-18,srv-order-service,srv-shipping-service,DEPENDS_ON,,medium,,,,,,,soft,
e-srv-order-service-DEPENDS_ON-srv-notification-service-19,srv-order-service,srv-notification-service,DEPENDS_ON,,low,,,,,,,soft,
e-srv-api-gateway-DEPENDS_ON-srv-auth-service-20,srv-api-gateway,srv-auth-service,DEPENDS_ON,,critical,,,,,,,hard,
